name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link
Nitish Kumar,Canada,"May 21, 1994 (28 years)","Scarborough, Ontario",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6474/nitish-kumar
Hiral Patel,Canada,"Aug 10, 1991 (31 years)","Ahmedabad, Gujarat, India",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3289/hiral-patel
Rizwan Cheema,Canada,"Aug 15, 1978 (44 years)",Pakistan,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1426/rizwan-cheema
Durand Soraine,Canada,"Sep 11, 1983 (39 years)",India,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/823/durand-soraine
Zubin Surkari,Canada,"Feb 26, 1980 (42 years)","Toronto, Ontario",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1432/zubin-surkari
Usman Limbada,Canada,"Oct 02, 1989 (33 years)",canada,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6475/usman-limbada
Harvir Baidwan,Canada,"Jul 31, 1987 (35 years)","Chandigarh, India",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1419/harvir-baidwan
Damodar Daesrat,Canada,"Jul 04, 1981 (41 years)","Cumberland, Berbice, Guyana",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8377/damodar-daesrat
Raza-ur-Rehman,Canada,"Nov 05, 1985 (37 years)",Bulawayo,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8256/raza-ur-rehman
Ashish Bagai,Canada,"Jan 26, 1982 (40 years)","Delhi, India",WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/676/ashish-bagai
R A Bhatti,Canada,"Feb 18, 1990 (32 years)",Lahore,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8033/r-a-bhatti
Hamza Tariq,Canada,"Jul 21, 1990 (32 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7675/hamza-tariq
Darren Ramsammy,Canada,"Jun 23, 1992 (30 years)","Scarborough, Ontario",WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8379/darren-ramsammy
Zeeshan Siddiqi,Canada,"Oct 26, 1976 (46 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8027/zeeshan-siddiqi
Manny Aulakh,Canada,"Nov 17, 1991 (31 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8100/manny-aulakh
Abzal Dean,Canada,"Feb 23, 1983 (39 years)","San Fernando, Trinidad",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1478/abzal-dean
Parth Desai,Canada,"Dec 11, 1990 (31 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7674/parth-desai
Nikhil Dutta,Canada,"Oct 13, 1994 (28 years)","Kuwait City, Kuwait",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9230/nikhil-dutta
Jeremy Gordon,Canada,"Jan 20, 1987 (35 years)","Stanley Town, New Amsterdam, Guyana",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8378/jeremy-gordon
Kenneth Kamyuka,Canada,"Dec 05, 1981 (41 years)","Jinga, Uganda",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9549/kenneth-kamyuka
Khurram Chohan,Canada,"Feb 22, 1980 (42 years)","Lahore, Punjab",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3285/khurram-chohan
Henry Osinde,Canada,"Oct 17, 1978 (44 years)",Uganda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/686/henry-osinde
Rayyan Pathan,Canada,"Dec 06, 1991 (31 years)","Toronto, Ontario",Bowler,--,--,--,74,--,--,--,https://www.cricbuzz.com/profiles/9229/rayyan-pathan
John Davison,Canada,"May 09, 1970 (52 years)","Campbell River, Vancouver Island, British Columbia",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/675/john-davison
Zahid Hussain,Canada,"Dec 18, 1974 (47 years)",--,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8026/zahid-hussain
Babar Hayat,Hong Kong,"Jan 05, 1992 (30 years)","Attock, Pakistan",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9979/babar-hayat
Waqas Khan,Hong Kong,"Mar 10, 1999 (23 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10208/waqas-khan
Kinchit Shah,Hong Kong,"Dec 09, 1995 (27 years)",Mumbai,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9981/kinchit-shah
Aizaz Khan,Hong Kong,"Mar 21, 1993 (29 years)",Hong Kong,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9975/aizaz-khan
Nizakat Khan,Hong Kong,"Jul 08, 1992 (30 years)","Attock, Punjab, Pakistan",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9980/nizakat-khan
Tanwir Afzal,Hong Kong,"Jun 12, 1988 (34 years)","Gujrat, Punjab",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9982/tanwir-afzal
Anshuman Rath,Hong Kong,"Nov 05, 1997 (25 years)",Hong Kong,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10035/anshuman-rath
Jamie Atkinson,Hong Kong,"Aug 23, 1990 (32 years)",Hong Kong,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1378/jamie-atkinson
Christopher Carter,Hong Kong,"Sep 09, 1997 (25 years)",Hong Kong,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10793/christopher-carter
Shahid Wasif,Hong Kong,"May 15, 1997 (25 years)",Pakistan,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11479/shahid-wasif
Ehsan Khan,Hong Kong,"Dec 27, 1984 (37 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11485/ehsan-khan
Nadeem Ahmed,Hong Kong,"Sep 28, 1987 (35 years)",Bahawalpur,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1385/nadeem-ahmed
Tanveer Ahmed,Hong Kong,"Sep 18, 1997 (25 years)",Pakistan,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11342/tanveer-ahmed
Aijaz Ali,United States,"Jun 20, 1968 (54 years)","Karachi, Pakistan",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3374/aijaz-ali
Rohan Alexander,United States,"Feb 20, 1973 (49 years)",Jamaica. W.I.,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3375/rohan-alexander
Donovan Blake,United States,"Dec 04, 1961 (61 years)","Jamaica, W.I.",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3385/donovan-blake
Jignesh Desai,United States,"Apr 18, 1974 (48 years)",USA,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3376/jignesh-desai
Howard Johnson,United States,"Aug 16, 1964 (58 years)","Jamaica, W.I.",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3377/howard-johnson
Mark Johnson,United States,"Oct 28, 1963 (59 years)",Jamaica,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3378/mark-johnson
Clayton Lambert,United States,"Feb 10, 1962 (60 years)","Islington, West Bank, Berbice, British Guiana",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3379/clayton-lambert
Steve Massiah,United States,"Jun 21, 1979 (43 years)","Georgetown, Guyana",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3380/steve-massiah
Nasir Javed,United States,"Jun 21, 1966 (56 years)","Lahore, Punjab",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3386/nasir-javed
Rashid,United States,"Apr 06, 1974 (48 years)","Gujranwala, Pakistan",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3381/rashid
Tony Reid,United States,"Apr 09, 1962 (60 years)","Barbados, West Indies",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3382/tony-reid
Leon Romero,United States,"Dec 29, 1974 (47 years)","New York, U.S.A.",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3383/leon-romero
Richard Staple,United States,"Nov 25, 1969 (53 years)","Kingston, Jamaica",--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3384/richard-staple
Tom Cooper,Netherlands,"Nov 26, 1986 (36 years)","Wollongong, New South Wales",Batsman,1.87 m,--,75,--,--,--,--,https://www.cricbuzz.com/profiles/6708/tom-cooper
Tom de Grooth,Netherlands,"May 14, 1979 (43 years)",The Hague,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1409/tom-de-grooth
Wilfred Diepeveen,Netherlands,"Jun 18, 1985 (37 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7609/wilfred-diepeveen
Tim Gruijters,Netherlands,"Aug 28, 1991 (31 years)",The Hague,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6477/tim-gruijters
Alexei Kervezee,Netherlands,"Sep 11, 1989 (33 years)","Walvis Bay, Republic of South Africa",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/634/alexei-kervezee
Neil Kruger,Netherlands,"Aug 15, 1981 (41 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7960/neil-kruger
Stephan Myburgh,Netherlands,"Feb 28, 1984 (38 years)","Pretoria, Transvaal",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8073/stephan-myburgh
Sikander Zulfiqar,Netherlands,"Mar 28, 1997 (25 years)",--,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/11330/sikander-zulfiqar
Michael Swart,Netherlands,"Oct 01, 1982 (40 years)","Subiaco, Perth, Western Australia",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7962/michael-swart
Peter Borren,Netherlands,"Aug 21, 1983 (39 years)","Christchurch, Canterbury",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/631/peter-borren
Max ODowd,Netherlands,"Mar 04, 1994 (28 years)",Auckland,Batting Allrounder,--,--,91,42,--,--,--,https://www.cricbuzz.com/profiles/10424/max-odowd
Vinoo Tewarie,Netherlands,"Sep 15, 1991 (31 years)",--,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7969/vinoo-tewarie
Daan van Bunge,Netherlands,"Oct 19, 1982 (40 years)","Leidschendam, Voorburg",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/641/daan-van-bunge
Ben Cooper,Netherlands,"Feb 10, 1992 (30 years)","Lismore, New South Wales",Bowling Allrounder,--,--,--,81,--,--,--,https://www.cricbuzz.com/profiles/9532/ben-cooper
Tom Heggelman,Netherlands,"Jan 16, 1987 (35 years)",--,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7610/tom-heggelman
Michael Rippon,Netherlands,"Sep 14, 1991 (31 years)","Cape Town, Cape Province",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8098/michael-rippon
Pieter Seelaar,Netherlands,"Jul 02, 1987 (35 years)",Schiedam,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1412/pieter-seelaar
Timm van der Gugten,Netherlands,"Feb 25, 1991 (31 years)","Hornsby, Upper North Shore, Sydney",Bowling Allrounder,1.87 m,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7801/timm-van-der-gugten
Roelof van der Merwe,Netherlands,"Dec 31, 1984 (37 years)","Johannesburg, Transvaal",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1669/roelof-van-der-merwe
Rahil Ahmed,Netherlands,"Jan 03, 1994 (28 years)",Amsterdam,WK-Batsman,1.71 m,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10423/rahil-ahmed
Wesley Barresi,Netherlands,"May 03, 1984 (38 years)",Johannesburg,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6707/wesley-barresi
Tobias Visee,Netherlands,"Jan 21, 1991 (31 years)",The Hague,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10429/tobias-visee
Ahsan Malik,Netherlands,"Aug 29, 1989 (33 years)",Rotterdam,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7964/ahsan-malik
Mudassar Bukhari,Netherlands,"Dec 26, 1983 (38 years)","Gujrat, Punjab, Pakistan",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1408/mudassar-bukhari
Vivian Kingma,Netherlands,"Oct 23, 1994 (28 years)","The Hague, Netherlands",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9391/vivian-kingma
Logan van Beek,Netherlands,"Sep 07, 1990 (32 years)","Christchurch, Canterbury",Bowler,--,--,--,--,--,99,--,https://www.cricbuzz.com/profiles/9983/logan-van-beek
Paul van Meekeren,Netherlands,"Jan 15, 1993 (29 years)","Amsterdam, Netherlands",Bowler,--,--,--,--,--,--,67,https://www.cricbuzz.com/profiles/9357/paul-van-meekeren
Thijs van Schelven,Netherlands,"Apr 03, 1989 (33 years)",The Hague,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10125/thijs-van-schelven
Edgar Schiferli,Netherlands,"May 17, 1976 (46 years)",--,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/692/edgar-schiferli
Eric Gouka,Netherlands,"Jan 29, 1970 (52 years)",Schiedam,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3298/eric-gouka
Asghar Afghan,Afghanistan,"Dec 22, 1987 (34 years)","Kabul, Afghanistan",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3004/asghar-afghan
Hashmatullah Shahidi,Afghanistan,"Nov 04, 1994 (28 years)",Logar,Batsman,--,88,51,--,--,--,--,https://www.cricbuzz.com/profiles/8277/hashmatullah-shahidi
Hazratullah Zazai,Afghanistan,"Mar 23, 1998 (24 years)",Paktia,Batsman,--,--,--,27,--,--,--,https://www.cricbuzz.com/profiles/12068/hazratullah-zazai
Najibullah Zadran,Afghanistan,"Feb 28, 1993 (29 years)",Logar,Batsman,--,--,41,37,--,--,--,https://www.cricbuzz.com/profiles/8375/najibullah-zadran
Noor Ali Zadran,Afghanistan,"Jul 10, 1988 (34 years)","Khost, Afghanistan",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3010/noor-ali-zadran
Rahmat Shah,Afghanistan,"Jul 06, 1993 (29 years)",Paktia,Batting Allrounder,--,98,26,--,--,--,--,https://www.cricbuzz.com/profiles/8571/rahmat-shah
Samiullah Shinwari,Afghanistan,"Feb 03, 1987 (35 years)","Nangrahar, Afghanistan",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3011/samiullah-shinwari
Gulbadin Naib,Afghanistan,"Mar 16, 1991 (31 years)","Logar, Afghanistan",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8030/gulbadin-naib
Mohammad Nabi,Afghanistan,"Jan 01, 1985 (37 years)","Loger, Afghanistan",Bowling Allrounder,--,--,66,56,--,13,52,https://www.cricbuzz.com/profiles/3007/mohammad-nabi
Rashid Khan,Afghanistan,"Sep 20, 1998 (24 years)",Nangarhar,Bowling Allrounder,--,--,--,--,37,6,2,https://www.cricbuzz.com/profiles/10738/rashid-khan
Mohammad Shahzad,Afghanistan,"Jan 10, 1987 (35 years)","Nangarhar, Afghanistan",WK-Batsman,5ft 3in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3014/mohammad-shahzad
Aftab Alam,Afghanistan,"Nov 30, 1992 (30 years)","Nangarhar, Afghanistan",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6476/aftab-alam
Dawlat Zadran,Afghanistan,"Mar 19, 1988 (34 years)","Khost, Afghanistan",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8029/dawlat-zadran
Hamid Hassan,Afghanistan,"Jun 01, 1987 (35 years)","Nengrakar, Afghanistan",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3001/hamid-hassan
Mujeeb Ur Rahman,Afghanistan,"Mar 28, 2001 (21 years)",Khost,Bowler,--,--,--,--,--,11,8,https://www.cricbuzz.com/profiles/12071/mujeeb-ur-rahman
Fakhar Zaman,Pakistan,"Apr 10, 1990 (32 years)","Mardan, North-West Frontier Province",Batsman,--,--,11,84,--,--,--,https://www.cricbuzz.com/profiles/10863/fakhar-zaman
Imam-ul-Haq,Pakistan,"Dec 12, 1995 (26 years)","Lahore, Punjab",Batsman,--,38,2,--,--,--,--,https://www.cricbuzz.com/profiles/8364/imam-ul-haq
Babar Azam,Pakistan,"Oct 15, 1994 (28 years)","Lahore, Punjab",Batsman,--,3,1,4,--,--,--,https://www.cricbuzz.com/profiles/8359/babar-azam
Asif Ali,Pakistan,"Oct 01, 1991 (31 years)","Faisalabad, Punjab",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9565/asif-ali
Haris Sohail,Pakistan,"Jan 09, 1989 (33 years)","Sialkot, Punjab",Batting Allrounder,--,--,42,--,93,--,--,https://www.cricbuzz.com/profiles/8299/haris-sohail
Mohammad Hafeez,Pakistan,"Oct 17, 1980 (42 years)","Sargodha, Punjab",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/360/mohammad-hafeez
Shoaib Malik,Pakistan,"Feb 01, 1982 (40 years)","Sialkot, Punjab",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/33/shoaib-malik
Shadab Khan,Pakistan,"Oct 04, 1998 (24 years)",Mianwali,Bowling Allrounder,--,--,--,--,--,31,18,https://www.cricbuzz.com/profiles/11186/shadab-khan
Imad Wasim,Pakistan,"Dec 18, 1988 (33 years)","Swansea, Glamorgan, Wales",Bowling Allrounder,--,--,70,--,--,64,--,https://www.cricbuzz.com/profiles/10408/imad-wasim
Sarfaraz Ahmed,Pakistan,"May 22, 1987 (35 years)","Karachi, Sind",WK-Batsman,--,--,78,--,--,--,--,https://www.cricbuzz.com/profiles/881/sarfaraz-ahmed
Wahab Riaz,Pakistan,"Jun 28, 1985 (37 years)","Lahore, Punjab",Bowler,--,--,--,--,--,86,--,https://www.cricbuzz.com/profiles/1051/wahab-riaz
Shaheen Afridi,Pakistan,"Apr 06, 2000 (22 years)",Khyber Agency,Bowler,--,--,--,--,5,5,17,https://www.cricbuzz.com/profiles/12160/shaheen-afridi
Hasan Ali,Pakistan,"Jul 02, 1994 (28 years)","Mandi Bahauddin, Punjab",Bowler,--,--,--,--,18,67,--,https://www.cricbuzz.com/profiles/11320/hasan-ali
Mohammad Hasnain,Pakistan,"Apr 05, 2000 (22 years)","Hyderabad, Pakistan",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/14248/mohammad-hasnain
Mohammad Amir,Pakistan,"Apr 13, 1992 (30 years)","Gujjar Khan, Punjab",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1917/mohammad-amir
Lahiru Thirimanne,Sri Lanka,"Aug 09, 1989 (33 years)",Moratuwa,Batsman,--,83,--,--,--,--,--,https://www.cricbuzz.com/profiles/6243/lahiru-thirimanne
Dimuth Karunaratne,Sri Lanka,"Apr 21, 1988 (34 years)",Colombo,Batsman,6 ft 0 in,8,--,--,--,--,--,https://www.cricbuzz.com/profiles/7952/dimuth-karunaratne
Avishka Fernando,Sri Lanka,"Apr 05, 1998 (24 years)",Wadduwa,Batsman,--,--,54,--,--,--,--,https://www.cricbuzz.com/profiles/10939/avishka-fernando
Angelo Mathews,Sri Lanka,"Jun 02, 1987 (35 years)",Colombo,Batting Allrounder,--,22,67,--,--,--,--,https://www.cricbuzz.com/profiles/1629/angelo-mathews
Dhananjaya de Silva,Sri Lanka,"Sep 06, 1991 (31 years)",Colombo,Batting Allrounder,5 ft 8 in,43,73,91,86,54,--,https://www.cricbuzz.com/profiles/7872/dhananjaya-de-silva
Milinda Siriwardana,Sri Lanka,"Dec 04, 1985 (37 years)",Nagoda,Batting Allrounder,5 ft 11 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7891/milinda-siriwardana
Thisara Perera,Sri Lanka,"Apr 03, 1989 (33 years)",Colombo,Bowling Allrounder,6 ft 1 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/2281/thisara-perera
Isuru Udana,Sri Lanka,"Feb 17, 1988 (34 years)",Balangoda,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1920/isuru-udana
Jeevan Mendis,Sri Lanka,"Jan 15, 1983 (39 years)",--,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6470/jeevan-mendis
Kusal Perera,Sri Lanka,"Aug 17, 1990 (32 years)",Kalubowila,WK-Batsman,--,76,61,--,--,--,--,https://www.cricbuzz.com/profiles/8116/kusal-perera
Kusal Mendis,Sri Lanka,"Feb 02, 1995 (27 years)",Moratuwa,WK-Batsman,--,54,46,46,--,--,--,https://www.cricbuzz.com/profiles/9494/kusal-mendis
Suranga Lakmal,Sri Lanka,"Mar 10, 1987 (35 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1785/suranga-lakmal
Lasith Malinga,Sri Lanka,"Aug 28, 1983 (39 years)",Galle,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/111/lasith-malinga
Jeffrey Vandersay,Sri Lanka,"Feb 05, 1990 (32 years)",Wattala,Bowler,5 ft 7 in,--,--,--,--,90,--,https://www.cricbuzz.com/profiles/10469/jeffrey-vandersay
Nuwan Pradeep,Sri Lanka,"Oct 19, 1986 (36 years)",Negombo,Bowler,--,--,--,--,--,82,--,https://www.cricbuzz.com/profiles/6730/nuwan-pradeep
Eoin Morgan,England,"Sep 10, 1986 (36 years)",Dublin,Batsman,5 ft 9 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/624/eoin-morgan
Joe Root,England,"Dec 30, 1990 (31 years)","Sheffield, Yorkshire",Batsman,--,4,13,--,88,--,--,https://www.cricbuzz.com/profiles/8019/joe-root
Jason Roy,England,"Jul 21, 1990 (32 years)","Durban, South Africa",Batsman,--,--,19,49,--,--,--,https://www.cricbuzz.com/profiles/6534/jason-roy
Liam Livingstone,England,"Aug 04, 1993 (29 years)","Barrow-in-Furness, Cumberland",Batsman,--,--,--,88,--,--,--,https://www.cricbuzz.com/profiles/10045/liam-livingstone
Dawid Malan,England,"Sep 03, 1987 (35 years)","Roehampton, England",Batsman,6 ft 0 in,93,99,6,--,--,--,https://www.cricbuzz.com/profiles/6660/dawid-malan
Moeen Ali,England,"Jun 18, 1987 (35 years)",Birmingham,Batting Allrounder,--,--,--,45,--,78,--,https://www.cricbuzz.com/profiles/6692/moeen-ali
Ben Stokes,England,"Jun 04, 1991 (31 years)","Canterbury, New Zealand",Batting Allrounder,--,25,--,--,36,--,--,https://www.cricbuzz.com/profiles/6557/ben-stokes
Chris Woakes,England,"Mar 02, 1989 (33 years)","Birmingham, Warwickshire",Bowling Allrounder,--,91,--,--,40,12,28,https://www.cricbuzz.com/profiles/6670/chris-woakes
Tom Curran,England,"Mar 12, 1995 (27 years)","Cape Town, Cape Province",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9522/tom-curran
Lewis Gregory,England,"May 24, 1992 (30 years)",Plymouth,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7854/lewis-gregory
Sam Curran,England,"Jun 03, 1998 (24 years)",Northampton,Bowling Allrounder,--,--,--,--,71,--,5,https://www.cricbuzz.com/profiles/10420/sam-curran
Jonny Bairstow,England,"Sep 26, 1989 (33 years)","Bradford, Yorkshire",WK-Batsman,--,12,7,64,--,--,--,https://www.cricbuzz.com/profiles/6507/jonny-bairstow
Jos Buttler,England,"Sep 08, 1990 (32 years)","Taunton, Somerset",WK-Batsman,--,65,31,12,--,--,--,https://www.cricbuzz.com/profiles/2258/jos-buttler
Sam Billings,England,"Jun 15, 1991 (31 years)","Pembury, Kent",WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7990/sam-billings
Adil Rashid,England,"Feb 17, 1988 (34 years)","Bradford, Yorkshire",Bowler,5 ft 8 in,--,--,--,--,41,3,https://www.cricbuzz.com/profiles/1742/adil-rashid
Mark Wood,England,"Jan 11, 1990 (32 years)","Ashington, Northumberland",Bowler,--,--,--,--,42,37,27,https://www.cricbuzz.com/profiles/8383/mark-wood
Jofra Archer,England,"Apr 01, 1995 (27 years)","Bridgetown, Barbados",Bowler,--,--,--,--,66,--,--,https://www.cricbuzz.com/profiles/11540/jofra-archer
Olly Stone,England,"Oct 09, 1993 (29 years)","Norwich, Norfolk",Bowler,--,--,--,--,85,--,--,https://www.cricbuzz.com/profiles/8022/olly-stone
Reece Topley,England,"Feb 21, 1994 (28 years)","Ipswich, Suffolk",Bowler,6 ft 7 in,--,--,--,--,73,23,https://www.cricbuzz.com/profiles/8349/reece-topley
Chris Jordan,England,"Oct 04, 1988 (34 years)",Barbados,Bowler,6 ft 2 in,--,--,--,--,--,39,https://www.cricbuzz.com/profiles/6532/chris-jordan
Faf du Plessis,South Africa,"Jul 13, 1984 (38 years)",Pretoria,Batsman,5 feet 11 inches,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7825/faf-du-plessis
David Miller,South Africa,"Jun 10, 1989 (33 years)","Pietermaritzburg, Natal",Batsman,--,--,21,31,--,--,--,https://www.cricbuzz.com/profiles/6349/david-miller
Aiden Markram,South Africa,"Oct 04, 1994 (28 years)",Centurion,Batsman,--,53,55,5,--,--,--,https://www.cricbuzz.com/profiles/9582/aiden-markram
Rassie van der Dussen,South Africa,"Feb 07, 1989 (33 years)","Pretoria, Transvaal",Batsman,--,48,3,23,--,--,--,https://www.cricbuzz.com/profiles/9554/rassie-van-der-dussen
Jean-Paul Duminy,South Africa,"Apr 14, 1984 (38 years)","Strandfontein, Cape Town, Cape Province",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/211/jean-paul-duminy
Andile Phehlukwayo,South Africa,"Mar 03, 1996 (26 years)",Durban,Bowling Allrounder,--,--,--,--,--,72,--,https://www.cricbuzz.com/profiles/9601/andile-phehlukwayo
Dwaine Pretorius,South Africa,"Mar 29, 1989 (33 years)",Randfontein,Bowling Allrounder,--,--,--,--,--,51,38,https://www.cricbuzz.com/profiles/8651/dwaine-pretorius
Chris Morris,South Africa,"Apr 30, 1987 (35 years)","Pretoria, Transvaal",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8333/chris-morris
Quinton de Kock,South Africa,"Dec 17, 1992 (29 years)","Johannesburg, Gauteng",WK-Batsman,--,--,4,15,--,--,--,https://www.cricbuzz.com/profiles/8520/quinton-de-kock
Imran Tahir,South Africa,"Mar 27, 1979 (43 years)","Lahore, Punjab",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6667/imran-tahir
